,Symbol,Sector,Date,Quarter,Intraday,SurpriseVal,Volume,Q
62,AAPL,Technology,2009-04-22,Q2/2009,-0.00987964943179,0.036,26375679.97,2009-Q2
63,AAPL,Technology,2009-07-21,Q3/2009,-0.0136376137865,0.024,22123228.59,2009-Q3
64,AAPL,Technology,2009-10-19,Q4/2009,0.0105367445017,0.055,24122602.63,2009-Q4
65,AAPL,Technology,2010-01-25,Q1/2010,0.00226958852918,0.228,31023978.9066,2010-Q1
66,AAPL,Technology,2010-07-20,Q3/2010,0.0354905347286,0.057,32692852.6,2010-Q3
67,AAPL,Technology,2010-10-18,Q4/2010,-0.00163702055801,0.077,32171556.9066,2010-Q4
68,AAPL,Technology,2011-01-18,Q1/2011,0.0346341828805,0.149,55515023.2264,2011-Q1
69,AAPL,Technology,2011-04-20,Q2/2011,-0.00261821620182,0.142,19290491.92,2011-Q2
70,AAPL,Technology,2011-07-19,Q3/2011,-0.00446936188502,0.274,24400917.4,2011-Q3
71,AAPL,Technology,2011-10-18,Q4/2011,0.000875219109519,-0.037,23916762.9,2011-Q4
72,AAPL,Technology,2012-01-24,Q1/2012,-0.0106327142204,0.533,12975353.86,2012-Q1
73,AAPL,Technology,2012-04-24,Q2/2012,-0.00431754314802,0.324,30735401.5,2012-Q2
74,AAPL,Technology,2012-07-24,Q3/2012,-0.0102918943079,-0.151,13645503.1266,2012-Q3
75,AAPL,Technology,2013-01-23,Q1/2013,0.0103755712472,0.039,21437448.94,2013-Q1
76,AAPL,Technology,2013-04-23,Q2/2013,0.00723010654498,0.015,15896718.78,2013-Q2
77,AAPL,Technology,2013-07-23,Q3/2013,-0.0166172457382,0.021,8841743.0,2013-Q3
78,ABBV,Health Care,2013-04-26,Q1/2013,0.0229160679647,0.014,8473705.0,2013-Q1
79,ABBV,Health Care,2013-07-26,Q2/2013,-0.00356109503672,0.035,3861773.0,2013-Q2
80,ABC,Health Care,2005-07-21,Q3/2005,-0.0119892766718,0.016,10156556.0,2005-Q3
81,ABC,Health Care,2006-01-25,Q1/2006,0.00729506824081,0.027,6934340.0,2006-Q1
